START	4025.838265	((((A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1,(A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:1,(A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1,A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:1)1:1)1:1)1:1,((A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:1,(A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:1,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:1)1:1,(A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:1,A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:1)1:1)1:1)1:1,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:1,(A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:1,A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1)1:1)1:1)1:1,((A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:1,A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:1)1:1,((A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:1,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:1,(A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:1,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:1,A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1)1:1)1:1)1:1)1:1)1:1;	1::0.0,13::1.0,10::1.0,5::1.0,2::1.0,1:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0,3::1.0,2:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:1.0,4::1.0,3:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,4:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:1.0,8::1.0,6::1.0,5:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:1.0,7::1.0,6:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:1.0,7:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,9::1.0,8:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:1.0,9:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:1.0,11::1.0,10:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:1.0,12::1.0,11:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:1.0,12:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1.0,15::1.0,14::1.0,13:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:1.0,14:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:1.0,17::1.0,16::1.0,15:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:1.0,16:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,18::1.0,17:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:1.0,19::1.0,18:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:1.0,19:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0;
NEIGHBOUR	4338.543234	(((((((((((A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,(A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2)1:0.5)1:0.125,A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3)1:0.0625,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:0.25)1:0.0625,A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3)1:0.25,A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5)1:0.5,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:3.25,((A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2,A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2)1:0.5,(A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1,A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5)1:0.25)1:0.5)1:0.25,A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1)1:0.25,(A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:1,A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1)1:1)1:0.25,A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1)1:0.25,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2)1:1)1:2;	1::0.0,4::2.0,3::0.25,5::0.25,9::0.25,2::0.25,14::3.25,11::0.5,10::0.25,15::0.0625,17::0.0625,6::0.125,1:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,12::0.5,7::0.5,2:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2.0,3:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1.0,13::1.0,4:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,8::1.0,5:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:1.0,19::0.5,6:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,7:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2.0,8:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,9:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0,10:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3.0,11:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,18::0.25,12:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0,13:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2.0,14:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,16::0.25,15:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,16:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,17:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3.0,18:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5,19:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2.0;
REORDER	4338.543234	((((A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:1,A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1)1:1,((((A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,(((((A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2)1:0.5,A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5)1:0.125,A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3)1:0.0625,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:0.25)1:0.0625,A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3)1:0.25)1:0.5,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:3.25,((A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2,A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2)1:0.5,(A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1,A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5)1:0.25)1:0.5)1:0.25,A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1)1:0.25)1:0.25,A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1)1:0.25,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2)1:1)1:2;	1::0.0,8::2.0,11::0.25,2::0.25,17::1.0,1:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:1.0,19::0.25,3::0.25,5::3.25,4::0.5,2:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,7::0.5,18::0.5,3:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2.0,9::0.25,6::0.0625,12::0.0625,13::0.125,14::0.5,4:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,5:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,15::0.25,6:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,16::0.25,7:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0,10::1.0,8:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,9:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3.0,10:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2.0,11:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1.0,12:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3.0,13:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,14:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2.0,15:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,16:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5,17:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,18:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2.0,19:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0;
NEIGHBOUR	4339.225015	(((((A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.5,((A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2,A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2)1:0.5,(A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1,A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5)1:0.25)1:0.5)1:0.5,A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1)1:1,(((A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,(((((A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2)1:0.5,A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5)1:0.125,A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3)1:0.0625,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:0.25)1:0.0625,A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3)1:0.25)1:0.5,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:3.5,A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1)1:0.25)1:0.25,A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1)1:0.25,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2)1:1)1:2;	1::0.0,8::2.0,11::0.25,2::0.25,17::1.0,3::0.5,1:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.5,19::0.25,5::3.5,4::0.5,2:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,7::0.5,18::0.5,3:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2.0,9::0.25,6::0.0625,12::0.0625,13::0.125,14::0.5,4:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,5:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,15::0.25,6:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,16::0.25,7:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0,10::1.0,8:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,9:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3.0,10:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2.0,11:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1.0,12:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3.0,13:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,14:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2.0,15:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,16:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5,17:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,18:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2.0,19:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0;
NEIGHBOUR	4354.69468	(((((A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.5,((A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2,A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2)1:0.5,(A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1,A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5)1:0.25)1:0.5)1:0.5,A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1)1:1.25,A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1)1:0.125,(((A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,(((((A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2)1:0.5,A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5)1:0.125,A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3)1:0.0625,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:0.25)1:0.0625,A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3)1:0.25)1:0.5,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:3.5,A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1)1:0.25)1:0.125,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2)1:1)1:2;	1::0.0,8::2.0,2::0.125,11::0.125,17::1.25,3::0.5,1:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.5,19::0.25,5::3.5,4::0.5,2:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,7::0.5,18::0.5,3:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2.0,9::0.25,6::0.0625,12::0.0625,13::0.125,14::0.5,4:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,5:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,15::0.25,6:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,16::0.25,7:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0,10::1.0,8:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,9:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3.0,10:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2.0,11:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1.0,12:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3.0,13:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,14:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2.0,15:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,16:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5,17:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,18:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2.0,19:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0;
NEIGHBOUR	4355.3956	((((((A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.25,(A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1,A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5)1:0.25)1:0.25,(A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2,A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2)1:1)1:0.5,A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1)1:1.25,A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1)1:0.125,(((A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,(((((A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2)1:0.5,A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5)1:0.125,A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3)1:0.0625,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:0.25)1:0.0625,A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3)1:0.25)1:0.5,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:3.5,A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1)1:0.25)1:0.125,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2)1:1)1:2;	1::0.0,8::2.0,2::0.125,11::0.125,17::1.25,3::0.5,7::0.25,1:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.25,19::0.25,5::3.5,4::0.5,2:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,18::1.0,3:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2.0,9::0.25,6::0.0625,12::0.0625,13::0.125,14::0.5,4:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,5:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,15::0.25,6:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,16::0.25,7:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0,10::1.0,8:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,9:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3.0,10:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2.0,11:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:1.0,12:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3.0,13:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,14:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2.0,15:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,16:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5,17:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,18:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2.0,19:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0;
NEIGHBOUR	4355.768627	(((((A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.25,(A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1,A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5)1:0.25)1:0.25,(A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2,A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2)1:1)1:1.75,(A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:0.5,A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1)1:0.5)1:0.125,(((A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,(((((A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2)1:0.5,A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5)1:0.125,A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3)1:0.0625,(A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1)1:0.25)1:0.0625,A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3)1:0.25)1:0.5,A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1)1:3.5,A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1)1:0.25)1:0.125,(A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2)1:1)1:2;	1::0.0,8::2.0,2::0.125,11::0.125,3::1.75,7::0.25,1:A/Canterbury/58/2000|CY009150|09/05/2000|New_Zealand||H3N2/8-1416:0.25,19::0.25,5::3.5,4::0.5,2:A/Hong_Kong/H090_695_V10/2009|CY115546|07/10/2009|Hong_Kong||H3N2/8-1416:0.5,18::1.0,3:A/New_York/182/2000|CY001279|02/18/2000|USA|99_00|H3N2/1-1409:2.0,9::0.25,6::0.0625,12::0.0625,13::0.125,14::0.5,4:A/Indiana/03/2012|KC892731|04/03/2012|USA|11_12|H3N2/1-1409:0.5,5:A/Oregon/15/2009|GQ895004|06/25/2009|USA|08_09|H3N2/1-1409:1.0,15::0.25,6:A/Maryland/03/2013|KF789621|02/10/2013|USA|12_13|H3N2/1-1409:0.25,16::0.25,7:A/Scotland/76/2003|CY088128|11/03/2003|United_Kingdom|03_04|H3N2/1-1409:1.0,10::1.0,8:A/Managua/25/2007|CY032439|06/27/2007|Nicaragua||H3N2/1-1409:2.5,9:A/Maryland/21/2011|KC892695|12/26/2011|USA|11_12|H3N2/1-1409:3.0,10:A/Peru/PER247/2011|CY162234|08/26/2011|Peru||H3N2/8-1416:2.0,17::0.5,11:A/Denmark/107/2003|EU103941|2003|Denmark||H3N2/1-1409:0.5,12:A/Mexico/InDRE940/2003|CY100628|2003|Mexico||H3N2/15-1423:3.0,13:A/Hawaii/02/2013|KF789866|05/28/2013|USA|12_13|H3N2/1-1409:0.5,14:A/Boston/57/2008|CY044710|02/24/2008|USA|07_08|H3N2/1-1409:2.0,15:A/DaNang/DN434/2008|CY104616|11/11/2008|Viet_Nam||H3N2/4-1412:1.0,16:A/Nebraska/15/2011|KC892583|12/15/2011|USA|11_12|H3N2/1-1409:0.5,17:A/Minab/797/2011|KC865620|12/24/2011|Iran||H3N2/20-1428:1.0,18:A/Boston/DOA2_107/2012|CY148382|11/01/2012|USA|12_13|H3N2/1-1409:2.0,19:A/New_Hampshire/12/2012|KF790252|11/08/2012|USA|12_13|H3N2/1-1409:1.0;
